
Conex�es ativas

  Proto  Endere�o local         Endere�o externo       Estado           PID
  TCP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:59641  [2603:1061:13f5:418::365:590]:443  ESTABLISHED     17620
  TCP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:59809  [2603:1061:13f5:419::365:590]:443  ESTABLISHED     17620
  UDP    0.0.0.0:53             *:*                                    4420
  UDP    0.0.0.0:123            *:*                                    45000
  UDP    0.0.0.0:443            *:*                                    9884
  UDP    0.0.0.0:1990           *:*                                    24988
  UDP    0.0.0.0:1990           *:*                                    24988
  UDP    0.0.0.0:1990           *:*                                    24988
  UDP    0.0.0.0:1990           *:*                                    2844
  UDP    0.0.0.0:1990           *:*                                    2844
  UDP    0.0.0.0:1990           *:*                                    36188
  UDP    0.0.0.0:1990           *:*                                    36188
  UDP    0.0.0.0:1990           *:*                                    2844
  UDP    0.0.0.0:1990           *:*                                    36188
  UDP    0.0.0.0:2021           *:*                                    24988
  UDP    0.0.0.0:2021           *:*                                    2844
  UDP    0.0.0.0:2021           *:*                                    24988
  UDP    0.0.0.0:2021           *:*                                    36188
  UDP    0.0.0.0:2021           *:*                                    36188
  UDP    0.0.0.0:2021           *:*                                    2844
  UDP    0.0.0.0:2021           *:*                                    36188
  UDP    0.0.0.0:2021           *:*                                    2844
  UDP    0.0.0.0:2021           *:*                                    24988
  UDP    0.0.0.0:3702           *:*                                    10852
  UDP    0.0.0.0:3702           *:*                                    10852
  UDP    0.0.0.0:3702           *:*                                    6568
  UDP    0.0.0.0:3702           *:*                                    6568
  UDP    0.0.0.0:5050           *:*                                    2232
  UDP    0.0.0.0:5353           *:*                                    38636
  UDP    0.0.0.0:5353           *:*                                    38636
  UDP    0.0.0.0:5353           *:*                                    21544
  UDP    0.0.0.0:5353           *:*                                    21544
  UDP    0.0.0.0:5353           *:*                                    19600
  UDP    0.0.0.0:5353           *:*                                    2132
  UDP    0.0.0.0:5353           *:*                                    21544
  UDP    0.0.0.0:5353           *:*                                    19600
  UDP    0.0.0.0:5353           *:*                                    2132
  UDP    0.0.0.0:5353           *:*                                    21544
  UDP    0.0.0.0:5353           *:*                                    38636
  UDP    0.0.0.0:5353           *:*                                    19600
  UDP    0.0.0.0:5353           *:*                                    2132
  UDP    0.0.0.0:5353           *:*                                    38636
  UDP    0.0.0.0:5353           *:*                                    2132
  UDP    0.0.0.0:5353           *:*                                    2976
  UDP    0.0.0.0:5353           *:*                                    19600
  UDP    0.0.0.0:5355           *:*                                    2976
  UDP    0.0.0.0:45822          *:*                                    5204
  UDP    0.0.0.0:49995          *:*                                    5204
  UDP    0.0.0.0:50001          *:*                                    4708
